,B,C,Al,Si,P,V,Cr,Fe,Co,Ni,Cu,Ga,Ge,Zr,Nb,Mo,Sn,Hf,Annealing Time(s),Annealing Temperature (K),Thickness (um),Bs (T)
Fe83.3Si3B9P3Cu0.7C1,9,3,0,1,3,0,0,83.3,0,0,0.7,0,0,0,0,0,0,0,0,0,22,1.68
Fe83B11C4Si1P1,10,3,0,2,1,0,0,84,0,0,0,0,0,0,0,0,0,0,900,603,20,1.68
Fe83B12C2Si2P1,12,2,0,2,1,0,0,83,0,0,0,0,0,0,0,0,0,0,900,603,20,1.68
Fe84B10C3Si2P1,11,4,0,1,1,0,0,83,0,0,0,0,0,0,0,0,0,0,900,603,20,1.68
Fe83B15Si2,15,0,0,2,0,0,0,83,0,0,0,0,0,0,0,0,0,0,600,713,28,1.68
Fe82Si3.375B14.625,14.625,0,0,3.375,0,0,0,82,0,0,0,0,0,0,0,0,0,0,600,633,30,1.68
Fe83B14Si1C1Cu1,14,1,0,1,0,0,0,83,0,0,1,0,0,0,0,0,0,0,0,0,25,1.68474
Fe84B13Si1C1Cu1,13,1,0,1,0,0,0,84,0,0,1,0,0,0,0,0,0,0,0,0,25,1.6887
Fe82B15Si1C1Cu1,15,1,0,1,0,0,0,82,0,0,1,0,0,0,0,0,0,0,0,0,25,1.68907
Fe82.17P5.94C3.96B3.96Si2.97Cu1,3.96,3.96,0,2.97,5.94,0,0,82.17,0,0,1,0,0,0,0,0,0,0,600,748,20,1.69
Fe68.8Co17.2B7.5Si3.5P3,7.5,0,0,3.5,3,0,0,68.8,17.2,0,0,0,0,0,0,0,0,0,600,609,20,1.69
Fe84B12C2Si1P1,8,4,0,2,1,0,0,85,0,0,0,0,0,0,0,0,0,0,900,573,20,1.69
Fe85B7C4Si3P1,7,4,0,3,1,0,0,85,0,0,0,0,0,0,0,0,0,0,900,543,20,1.69
Fe85B8C4Si2P1,12,2,0,1,1,0,0,84,0,0,0,0,0,0,0,0,0,0,900,603,20,1.69
Fe82B14Si1C2Cu1,14,2,0,1,0,0,0,82,0,0,1,0,0,0,0,0,0,0,0,0,25,1.69303
Fe84B8.5Si4.5P3,8.5,0,0,4.5,3,0,0,84,0,0,0,0,0,0,0,0,0,0,600,602,20,1.7
Fe82.8B9P7Cu1.2,9,0,0,0,7,0,0,82.8,0,0,1.2,0,0,0,0,0,0,0,600,697.96765,20,1.7
Fe83.3Si4Cu0.7B4P8,4,0,0,4,8,0,0,83.3,0,0,0.7,0,0,0,0,0,0,0,120,793,20,1.7
Fe83.3Si1B9P3Cu0.7C3,9,3,0,1,3,0,0,83.3,0,0,0.7,0,0,0,0,0,0,0,360,623,22,1.7
Fe83B12C3Si1P1,9,4,0,2,1,0,0,84,0,0,0,0,0,0,0,0,0,0,900,603,20,1.7
Fe84B9C4Si2P1,12,3,0,1,1,0,0,83,0,0,0,0,0,0,0,0,0,0,900,603,20,1.7
Fe82B15Si1C1Cu1,15,1,0,1,0,0,0,82,0,0,1,0,0,0,0,0,0,0,1800,630,25,1.70355
Fe82B14Si1C2Cu1,14,2,0,1,0,0,0,82,0,0,1,0,0,0,0,0,0,0,1800,625,25,1.70553
